key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
dobbins_RB_DEN,J.K. Dobbins,RB,DEN,,,,7,1137,21,0,77,,1,,,,,,,,,,,,
stevenson_RB_NE,Rhamondre Stevenson,RB,NE,,,,6,698,33,2,333,,3,,,,,,,,,,,,
lloyd_RB_GB,MarShawn Lloyd,RB,GB,,,,8,1022,13,1,130,,3,,,,,,,,,,,,
brooks_RB_CAR,Jonathon Brooks,RB,CAR,,,,7,880,24,1,199,,2,,,,,,,,,,,,
hubbard_RB_CAR,Chuba Hubbard,RB,CAR,,,,5,712,33,3,210,,1,,,,,,,,,,,,
jones_RB_MIN,Aaron Jones,RB,MIN,,,,3,665,38,2,292,,1,,,,,,,,,,,,
monangai_RB_CHI,Kyle Monangai,RB,CHI,,,,5,855,23,0,208,,1,,,,,,,,,,,,
mason_RB_MIN,Jordan Mason,RB,MIN,,,,7,911,18,0,82,,1,,,,,,,,,,,,
white_RB_WSH,Rachaad White,RB,WSH,,,,6,710,25,1,167,,1,,,,,,,,,,,,
croskeymerritt_RB_WSH,Jacory Croskey-Merritt,RB,WSH,,,,8,859,9,0,71,,2,,,,,,,,,,,,
spears_RB_TEN,Tyjae Spears,RB,TEN,,,,4,347,50,1,327,,1,,,,,,,,,,,,
washington_RB_LV,Mike Washington Jr.,RB,LV,,,,4,611,27,1,227,,2,,,,,,,,,,,,
corum_RB_LAR,Blake Corum,RB,LAR,,,,6,886,6,0,36,,1,,,,,,,,,,,,
sampson_RB_CLE,Dylan Sampson,RB,CLE,,,,2,289,44,3,351,,2,,,,,,,,,,,,
marks_RB_HOU,Woody Marks,RB,HOU,,,,3,561,21,3,179,,1,,,,,,,,,,,,
jacobs_RB_GB,Josh Jacobs,RB,GB,,,,6,506,21,1,171,,1,,,,,,,,,,,,
james_RB_SF,Jordan James,RB,SF,,,,4,494,24,1,235,,2,,,,,,,,,,,,
rodriguez_RB_JAX,Chris Rodriguez Jr.,RB,JAX,,,,8,695,2,0,23,,1,,,,,,,,,,,,
allen_RB_NYJ,Braelon Allen,RB,NYJ,,,,6,550,15,1,111,,3,,,,,,,,,,,,
black_RB_SF,Kaelon Black,RB,SF,,,,5,594,13,1,128,,2,,,,,,,,,,,,
hill_RB_BAL,Justice Hill,RB,BAL,,,,3,325,26,2,218,,0,,,,,,,,,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,,,,3,422,28,0,205,,1,,,,,,,,,,,,
johnson_RB_BUF,Ty Johnson,RB,BUF,,,,2,225,24,3,280,,0,,,,,,,,,,,,
bigsby_RB_PHI,Tank Bigsby,RB,PHI,,,,5,649,4,0,35,,1,,,,,,,,,,,,
charbonnet_RB_SEA,Zach Charbonnet,RB,SEA,,,,6,449,16,0,129,,1,,,,,,,,,,,,
tracy_RB_NYG,Tyrone Tracy Jr.,RB,NYG,,,,2,524,19,1,140,,1,,,,,,,,,,,,
dillon_RB_CAR,AJ Dillon,RB,CAR,,,,3,532,18,1,146,,5,,,,,,,,,,,,
allgeier_RB_ARI,Tyler Allgeier,RB,ARI,,,,5,442,16,0,96,,1,,,,,,,,,,,,
davis_RB_DAL,Malik Davis,RB,DAL,,,,4,554,9,0,75,,1,,,,,,,,,,,,
wilson_RB_SEA,Emanuel Wilson,RB,SEA,,,,3,529,14,0,93,,1,,,,,,,,,,,,
perine_RB_CIN,Samaje Perine,RB,CIN,,,,4,443,17,0,132,,3,,,,,,,,,,,,
pacheco_RB_DET,Isiah Pacheco,RB,DET,,,,2,473,20,1,119,,1,,,,,,,,,,,,
conner_RB_ARI,James Conner,RB,ARI,,,,2,217,28,2,213,,0,,,,,,,,,,,,
brooks_RB_GB,Christopher Brooks,RB,GB,,,,2,536,13,0,91,,1,,,,,,,,,,,,
vidal_RB_LAC,Kimani Vidal,RB,LAC,,,,2,334,16,1,145,,0,,,,,,,,,,,,
mitchell_RB_LAC,Keaton Mitchell,RB,LAC,,,,2,475,11,0,72,,1,,,,,,,,,,,,
randall_RB_BAL,Adam Randall,RB,BAL,,,,2,339,13,1,141,,1,,,,,,,,,,,,
harris_RB_NYG,Najee Harris,RB,NYG,,,,3,353,10,0,75,,0,,,,,,,,,,,,
juszczyk_RB_SF,Kyle Juszczyk,RB,SF,,,,0,2,27,2,257,,0,,,,,,,,,,,,
smith_RB_KC,Brashard Smith,RB,KC,,,,1,186,21,1,142,,0,,,,,,,,,,,,
wright_RB_MIA,Jaylen Wright,RB,MIA,,,,2,384,7,0,49,,2,,,,,,,,,,,,
allen_RB_JAX,LeQuint Allen,RB,JAX,,,,1,218,9,0,50,,0,,,,,,,,,,,,
davis_RB_NYJ,Isaiah Davis,RB,NYJ,,,,1,171,7,0,61,,0,,,,,,,,,,,,
johnson_RB_CHI,Roschon Johnson,RB,CHI,,,,3,116,3,0,18,,0,,,,,,,,,,,,
