key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
williams_QB_CHI,Caleb Williams,QB,CHI,1.0,225.0,1.0,0.0,22.0,,,,,,,,,,,,,,,,,
maye_QB_NE,Drake Maye,QB,NE,1.0,232.0,1.0,0.0,30.0,,,,,,,,,,,,,,,,,
mayfield_QB_TB,Baker Mayfield,QB,TB,2.0,233.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,,
stroud_QB_HOU,C.J. Stroud,QB,HOU,2.0,243.0,1.0,0.0,15.0,,,,,,,,,,,,,,,,,
nix_QB_DEN,Bo Nix,QB,DEN,1.0,225.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,,
brown_RB_CIN,Chase Brown,RB,CIN,,,,0.0,61.0,4.0,0.0,26.0,,,,,,,,,,,,,,
cook_RB_BUF,James Cook III,RB,BUF,,,,1.0,76.0,3.0,0.0,21.0,,,,,,,,,,,,,,
goff_QB_DET,Jared Goff,QB,DET,2.0,245.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,
young_QB_CAR,Bryce Young,QB,CAR,1.0,223.0,1.0,0.0,17.0,,,,,,,,,,,,,,,,,
collins_WR_HOU,Nico Collins,WR,HOU,,,,0.0,1.0,5.0,0.0,73.0,,,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,1.0,225.0,1.0,0.0,19.0,,,,,,,,,,,,,,,,,
purdy_QB_SF,Brock Purdy,QB,SF,1.0,241.0,1.0,0.0,15.0,,,,,,,,,,,,,,,,,
williams_RB_DAL,Javonte Williams,RB,DAL,,,,1.0,75.0,2.0,0.0,13.0,,,,,,,,,,,,,,
jones_QB_IND,Daniel Jones,QB,IND,1.0,217.0,1.0,0.0,17.0,,,,,,,,,,,,,,,,,
london_WR_ATL,Drake London,WR,ATL,,,,0.0,0.0,6.0,0.0,72.0,,,,,,,,,,,,,,
willis_QB_MIA,Malik Willis,QB,MIA,1.0,213.0,1.0,0.0,33.0,,,,,,,,,,,,,,,,,
etienne_RB_NO,Travis Etienne Jr.,RB,NO,,,,0.0,66.0,3.0,0.0,26.0,,,,,,,,,,,,,,
love_QB_GB,Jordan Love,QB,GB,1.0,234.0,1.0,0.0,12.0,,,,,,,,,,,,,,,,,
mcmillan_WR_CAR,Tetairoa McMillan,WR,CAR,,,,0.0,0.0,5.0,0.0,72.0,,,,,,,,,,,,,,
smith_WR_PHI,DeVonta Smith,WR,PHI,,,,0.0,0.0,5.0,0.0,68.0,,,,,,,,,,,,,,
wilson_WR_NYJ,Garrett Wilson,WR,NYJ,,,,0.0,1.0,6.0,0.0,69.0,,,,,,,,,,,,,,
olave_WR_NO,Chris Olave,WR,NO,,,,0.0,0.0,6.0,0.0,72.0,,,,,,,,,,,,,,
rodgers_QB_PIT,Aaron Rodgers,QB,PIT,2.0,229.0,1.0,0.0,6.0,,,,,,,,,,,,,,,,,
cousins_QB_LV,Kirk Cousins,QB,LV,1.0,236.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,
walker_RB_KC,Kenneth Walker III,RB,KC,,,,0.0,67.0,3.0,0.0,21.0,,,,,,,,,,,,,,
pickens_WR_DAL,George Pickens,WR,DAL,,,,0.0,0.0,5.0,0.0,69.0,,,,,,,,,,,,,,
love_RB_ARI,Jeremiyah Love,RB,ARI,,,,0.0,57.0,4.0,0.0,27.0,,,,,,,,,,,,,,
rice_WR_KC,Rashee Rice,WR,KC,,,,0.0,2.0,5.0,0.0,61.0,,,,,,,,,,,,,,
mcbride_TE_ARI,Trey McBride,TE,ARI,,,,0.0,0.0,6.0,0.0,61.0,,,,,,,,,,,,,,
flowers_WR_BAL,Zay Flowers,WR,BAL,,,,0.0,3.0,5.0,0.0,70.0,,,,,,,,,,,,,,
shough_QB_NO,Tyler Shough,QB,NO,1.0,227.0,1.0,0.0,16.0,,,,,,,,,,,,,,,,,
brown_WR_NE,A.J. Brown,WR,NE,,,,0.0,0.0,5.0,0.0,71.0,,,,,,,,,,,,,,
egbuka_WR_TB,Emeka Egbuka,WR,TB,,,,0.0,1.0,4.0,0.0,68.0,,,,,,,,,,,,,,
darnold_QB_SEA,Sam Darnold,QB,SEA,1.0,233.0,1.0,0.0,7.0,,,,,,,,,,,,,,,,,
stevenson_RB_NE,Rhamondre Stevenson,RB,NE,,,,0.0,55.0,3.0,0.0,23.0,,,,,,,,,,,,,,
nabers_WR_NYG,Malik Nabers,WR,NYG,,,,0.0,1.0,5.0,0.0,63.0,,,,,,,,,,,,,,
adams_WR_LAR,Davante Adams,WR,LAR,,,,0.0,0.0,4.0,1.0,60.0,,,,,,,,,,,,,,
smith_QB_NYJ,Geno Smith,QB,NYJ,1.0,225.0,1.0,0.0,13.0,,,,,,,,,,,,,,,,,
mcconkey_WR_LAC,Ladd McConkey,WR,LAC,,,,0.0,0.0,5.0,0.0,63.0,,,,,,,,,,,,,,
skattebo_RB_NYG,Cam Skattebo,RB,NYG,,,,0.0,59.0,3.0,0.0,20.0,,,,,,,,,,,,,,
williams_RB_LAR,Kyren Williams,RB,LAR,,,,1.0,62.0,2.0,0.0,13.0,,,,,,,,,,,,,,
price_RB_SEA,Jadarian Price,RB,SEA,,,,1.0,66.0,2.0,0.0,12.0,,,,,,,,,,,,,,
ward_QB_TEN,Cam Ward,QB,TEN,1.0,221.0,1.0,0.0,12.0,,,,,,,,,,,,,,,,,
brissett_QB_ARI,Jacoby Brissett,QB,ARI,1.0,225.0,1.0,0.0,14.0,,,,,,,,,,,,,,,,,
judkins_RB_CLE,Quinshon Judkins,RB,CLE,,,,0.0,72.0,2.0,0.0,13.0,,,,,,,,,,,,,,
higgins_WR_CIN,Tee Higgins,WR,CIN,,,,0.0,0.0,4.0,1.0,56.0,,,,,,,,,,,,,,
tuten_RB_JAX,Bhayshul Tuten,RB,JAX,,,,0.0,62.0,2.0,0.0,16.0,,,,,,,,,,,,,,
montgomery_RB_HOU,David Montgomery,RB,HOU,,,,1.0,59.0,2.0,0.0,14.0,,,,,,,,,,,,,,
warren_RB_PIT,Jaylen Warren,RB,PIT,,,,0.0,53.0,3.0,0.0,20.0,,,,,,,,,,,,,,
watson_QB_CLE,Deshaun Watson,QB,CLE,1.0,205.0,1.0,0.0,21.0,,,,,,,,,,,,,,,,,
lloyd_RB_GB,MarShawn Lloyd,RB,GB,,,,1.0,61.0,2.0,0.0,12.0,,,,,,,,,,,,,,
dowdle_RB_PIT,Rico Dowdle,RB,PIT,,,,0.0,65.0,2.0,0.0,13.0,,,,,,,,,,,,,,
irving_RB_TB,Bucky Irving,RB,TB,,,,0.0,58.0,2.0,0.0,18.0,,,,,,,,,,,,,,
odunze_WR_CHI,Rome Odunze,WR,CHI,,,,0.0,0.0,4.0,0.0,60.0,,,,,,,,,,,,,,
swift_RB_CHI,D'Andre Swift,RB,CHI,,,,0.0,58.0,2.0,0.0,16.0,,,,,,,,,,,,,,
pittman_WR_PIT,Michael Pittman Jr.,WR,PIT,,,,0.0,0.0,5.0,0.0,52.0,,,,,,,,,,,,,,
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,,,,0.0,0.0,5.0,0.0,61.0,,,,,,,,,,,,,,
warren_TE_IND,Tyler Warren,TE,IND,,,,0.0,1.0,5.0,0.0,52.0,,,,,,,,,,,,,,
waddle_WR_DEN,Jaylen Waddle,WR,DEN,,,,0.0,1.0,5.0,0.0,58.0,,,,,,,,,,,,,,
metcalf_WR_PIT,DK Metcalf,WR,PIT,,,,0.0,0.0,4.0,0.0,57.0,,,,,,,,,,,,,,
williams_WR_DET,Jameson Williams,WR,DET,,,,0.0,3.0,4.0,0.0,60.0,,,,,,,,,,,,,,
loveland_TE_CHI,Colston Loveland,TE,CHI,,,,0.0,0.0,5.0,0.0,53.0,,,,,,,,,,,,,,
burden_WR_CHI,Luther Burden III,WR,CHI,,,,0.0,3.0,4.0,0.0,55.0,,,,,,,,,,,,,,
tate_WR_TEN,Carnell Tate,WR,TEN,,,,0.0,0.0,4.0,0.0,60.0,,,,,,,,,,,,,,
hubbard_RB_CAR,Chuba Hubbard,RB,CAR,,,,0.0,50.0,2.0,0.0,19.0,,,,,,,,,,,,,,
sutton_WR_DEN,Courtland Sutton,WR,DEN,,,,0.0,0.0,4.0,0.0,52.0,,,,,,,,,,,,,,
moore_WR_BUF,DJ Moore,WR,BUF,,,,0.0,2.0,4.0,0.0,54.0,,,,,,,,,,,,,,
pollard_RB_TEN,Tony Pollard,RB,TEN,,,,0.0,65.0,2.0,0.0,11.0,,,,,,,,,,,,,,
harrison_WR_ARI,Marvin Harrison Jr.,WR,ARI,,,,0.0,0.0,4.0,0.0,57.0,,,,,,,,,,,,,,
washington_WR_JAX,Parker Washington,WR,JAX,,,,0.0,2.0,4.0,0.0,51.0,,,,,,,,,,,,,,
brooks_RB_CAR,Jonathon Brooks,RB,CAR,,,,0.0,49.0,2.0,0.0,17.0,,,,,,,,,,,,,,
fannin_TE_CLE,Harold Fannin Jr.,TE,CLE,,,,0.0,1.0,5.0,0.0,48.0,,,,,,,,,,,,,,
laporta_TE_DET,Sam LaPorta,TE,DET,,,,0.0,0.0,5.0,0.0,46.0,,,,,,,,,,,,,,
bates_K_DET,Jake Bates,K,DET,,,,,,,,,,,,,,1.0,0.0,3.0,,,,,,
